item_id,item_desc,quantity
9781035408610,DECEMBER BABY,2
9781035408689,MAD WOMAN,16
9781035409419,MAD GIRL,1
9781035409693,MAN'S BEST F,3
9781035410606,MERCHANT DAUGT,2
9781035411214,TRUMP: THE P,8
9781035411740,MANIFEST DAY,1
9781035411771,PLAYFAIR CRI,12
9781035412082,PLOT TWIST,20
9781035412372,MW TIME OF YR,5
9781035414659,LAST ORDERS,6
9781398700604,DEAR JOAN AND,2
9781398700758,KIND WORDS FOR,2
9781398701304,HOW TO HEAL A,7
9781398702226,LET'S TALK,1
9781398703155,30 DAYS PARIS,4
9781398704060,BOOK YOUR DOG,8
9781398705005,STAY,1
9781398705593,SUPPER WITH TH,1
9781398705944,TEN THINGS I H,3
9781398706675,GLASGOW KISS,2
9781398708952,RUNAWAY GIRL,8
9781398709355,HEARTFULL,1
9781398709386,HEART HEADSTON,1
9781398710177,QUEEN'S SHOW:,2
9781398711167,MARIAGE FORTUN,2
9781398711198,COURT BETRAYAL,8
9781398711358,WILD CARD,9
9781398712133,EVER AFTER,28
9781398712409,IT?S NOT BANTE,6
9781398714458,ISLAND SWIMME,1
9781398715950,LONG GOODBYE,6
9781398716445,FIRST COMES M,7
9781398716575,REUNION,2
9781398716605,WRONG CHILD,8
9781398717961,WITCH U WEREN',9
9781398718845,DEBUTANTE'S DE,5
9781398719415,EVERGREEN,7
9781398720336,BK YOUR CAT WI,92
9781398720862,ROMANTICISE YL,47
9781399600286,HAIRY DIETER E,21
9781399603911,TEN: THE DECAD,1
9781399603928,TEN,1
9781399604086,BEAUTIFUL POET,1
9781399604161,HIGH VAULTAGE,20
9781399604390,UNFINISHED B,1
9781399606189,I THOUGHT I HU,3
9781399607360,HAIRY DIETERS',15
9781399607681,MORTIFICATION,1
9781399609722,TAKE NOTHING 4,16
9781399609739,TAKE NOTHIN FG,12
9781399609852,KAVITHRI,1
9781399610117,#ITSFINE: LOSE,1
9781399611077,THE ORDNANCE,1
9781399611688,LIONESS - MY,2
9781399614009,MAIDEN  MOTHE,5
9781399614085,ELIZABETH BARR,1
9781399614153,SAMUEL TAYLOR,1
9781399614184,JANE AUSTEN,8
9781399614924,THE ORPHANAGE,4
9781399617253,SYNNERS,1
9781399619134,MESSI,7
9781399619196,CRISTIANO RONA,18
9781399700665,STILL POINTS,1
9781399700757,BUST?,2
9781399700801,MAKE YOU MINE,2
9781399701389,CHESS QUEENS,1
9781399701426,STORM OF WAR:,1
9781399701471,CLASH OF LEGI,15
9781399701884,DIET-WHISPERER,3
9781399701976,TWOCHUBBY,4
9781399703307,SOFT LAD,3
9781399703338,SOFT LAD,1
9781399704359,UNCIVILISED,26
9781399704793,ASTROLOGY SELF,1
9781399704854,ASTROLOGY SELF,1
9781399704984,DEF GD PERIMEN,6
9781399705202,ALL ON THE BRD,2
9781399705400,BABY NAMES 202,14
9781399707602,DEATHOFLESSER,7
9781399707640,DEATHOFLESSER,9
9781399707954,ACCEPTANCE,1
9781399708463,MINOR DISTURBA,19
9781399708524,EXERCISE WELL,66
9781399708692,MAN WITH A H,7
9781399708760,BLITZ GIRLS,1
9781399708876,BATTLE SONG,3
9781399709255,POWER OF MESS,2
9781399710107,ONE BOY  TWO B,1
9781399710138,ONE BOY,12
9781399710695,STYLE CHAPTE,31
9781399710923,HOW DOES,14
9781399710930,HOW DOES SHE,1
9781399711104,LIBRA SUICIDES,3
9781399711173,EXILED,2
9781399712453,EAT WELL WIT,2
9781399713047,FLYING HOME FO,4
9781399713580,CHILD OF THE R,4
9781399713702,CARBOLICS,5
9781399714983,EVRTHGISEV,5
9781399715164,MURDER AT BUNT,2
9781399715195,MURDER AT THE,1
9781399715249,MURDER AT THE,24
9781399715324,VINTAG DRES SH,5
9781399715331,CHG HEART VDS,7
9781399715447,HEALIN HOME GN,8
9781399717106,DARK PINES,1
9781399717137,RED SNOW,2
9781399717205,BLACK RIVER,1
9781399717250,BAD APPLES,8
9781399717410,SHANGHAI IMMOR,35
9781399717458,SHANGHAI IMMOR,4
9781399718158,ESCAPE FROM K,59
9781399719223,BECOMING US,14
9781399719285,LUNCH & DINNER,6
9781399719384,ENERGY SECRETS,1
9781399720359,I'LL LEAVE Y,2
9781399721332,VOICES OF ROME,11
9781399721561,LEGALLY RED,41
9781399721653,LOVE FRM VENIC,5
9781399722469,DELICIOUS GL,2
9781399723572,SAD GIRL NOV,1
9781399723930,ONCE A KING,40
9781399724661,SLIMMING EAT,4
9781399724685,TIL DEATH DO,9
9781399725194,UNLIKELY DUKE,21
9781399727297,SALT FLATS,6
9781399728034,JANEY,12
9781399729925,NURSES OF EAST,6
9781399729932,NURSES EASTBY,2
9781399731270,FEED YOUR FAMI,1
9781399731713,2025 HOROSCO,34
