series_code,series_desc,pallet_id,pallet_available_flag,item_id,item_desc,family_code,reporting_group_desc,publisher_desc,imprint_desc,us_price,can_price,pub_date,quantity,Extended Retail,Extended @ 3%
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408327685,MVS GIRL GLASS,23030202,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,9.99,10.99,2018-03-06,2,21.98,0.66
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408329160,SCRT KNGDOM PX,23030202,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,5.99,6.99,2017-06-06,1,6.99,0.21
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408332412,KATIE IN SCOTL,23030202,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,9.99,9.99,2014-06-05,1,9.99,0.3
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408340806,GQ 92 THORON,23030202,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,6.99,8.99,2016-06-21,1,8.99,0.27
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408342978,BQ SPECIAL 18,23030202,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,5.99,5.99,2017-01-03,1,5.99,0.18
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408342992,BQ SPECIAL 19,23030202,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,9.99,12.99,2017-03-14,1,12.99,0.39
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408343135,BEAST QUST 100,23030202,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,7.99,10.99,2017-06-20,2,21.98,0.66
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408343210,BQ SKALIX SNP,23030202,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,5.99,5.99,2017-11-14,3,17.97,0.54
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408343333,BQ LYPIDA SHDW,23030202,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,5.99,5.99,2018-06-05,1,5.99,0.18
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408343364,BEASTQUESTMENO,23030202,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,7.99,10.99,2018-11-20,6,65.94,1.98
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408343449,BEAST QUEST Q,23030202,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,7.99,10.99,2019-05-14,1,10.99,0.33
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408343470,BEAST QUEST T,23030202,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,7.99,10.99,2019-08-06,1,10.99,0.33
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408343494,BEAST QUEST X,23030202,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,7.99,10.99,2019-08-06,1,10.99,0.33
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408345702,CINDERELLA,23030202,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,10.99,12.99,2020-06-23,1,12.99,0.39
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408351727,CHRISTMAS CARO,23030202,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,10.99,12.99,2020-12-15,1,12.99,0.39
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408353523,THERE'S A LION,23030202,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,9.99,12.99,2021-06-01,1,12.99,0.39
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408355756,OSCAR THE HUNG,23030202,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,10.99,12.99,2020-11-17,1,12.99,0.39
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408357774,BEAST QUEST: F,23030202,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,6.99,8.99,2019-12-24,1,8.99,0.27
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408357798,BEAST QUEST: M,23030202,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,7.99,10.99,2021-08-03,1,10.99,0.33
